date,sector,above_50sma,above_200sma,new_52w_high,new_52w_low
2024-05-10,Consumer Staples,66.66666666666666,,,
2024-05-10,Energy,63.63636363636363,,,
2024-05-10,Financials,72.36842105263158,,,
2024-05-10,Health Care,50.847457627118644,,,
2024-05-10,Industrials,61.53846153846154,,,
2024-05-10,Information Technology,47.82608695652174,,,
2024-05-10,Materials,69.23076923076923,,,
2024-05-10,Real Estate,58.06451612903226,,,
2024-05-10,Utilities,100.0,,,
2024-05-17,Communication Services,65.21739130434783,,,
2024-05-17,Consumer Discretionary,39.58333333333333,,,
2024-05-17,Consumer Staples,61.111111111111114,,,
2024-05-17,Energy,63.63636363636363,,,
2024-05-17,Financials,78.94736842105263,,,
2024-05-17,Health Care,62.71186440677966,,,
2024-05-17,Industrials,58.97435897435898,,,
2024-05-17,Information Technology,63.76811594202898,,,
2024-05-17,Materials,57.692307692307686,,,
2024-05-17,Real Estate,83.87096774193549,,,
2024-05-17,Utilities,100.0,,,
2024-05-24,Communication Services,60.86956521739131,,,
2024-05-24,Consumer Discretionary,35.41666666666667,,,
2024-05-24,Consumer Staples,50.0,,,
2024-05-24,Energy,31.818181818181817,,,
2024-05-24,Financials,57.89473684210527,,,
2024-05-24,Health Care,49.152542372881356,,,
2024-05-24,Industrials,50.0,,,
2024-05-24,Information Technology,62.31884057971014,,,
2024-05-24,Materials,53.84615384615385,,,
2024-05-24,Real Estate,45.16129032258064,,,
2024-05-24,Utilities,80.64516129032258,,,
2024-05-31,Communication Services,73.91304347826086,,,
2024-05-31,Consumer Discretionary,45.83333333333333,,,
2024-05-31,Consumer Staples,38.88888888888889,,,
2024-05-31,Energy,54.54545454545454,,,
2024-05-31,Financials,52.63157894736842,,,
2024-05-31,Health Care,45.76271186440678,,,
2024-05-31,Industrials,44.871794871794876,,,
2024-05-31,Information Technology,50.72463768115942,,,
2024-05-31,Materials,61.53846153846154,,,
2024-05-31,Real Estate,67.74193548387096,,,
2024-05-31,Utilities,93.54838709677419,,,
2024-06-07,Communication Services,78.26086956521739,,,
2024-06-07,Consumer Discretionary,47.91666666666667,,,
2024-06-07,Consumer Staples,38.88888888888889,,,
2024-06-07,Energy,18.181818181818183,,,
2024-06-07,Financials,43.42105263157895,,,
2024-06-07,Health Care,58.333333333333336,,,
2024-06-07,Industrials,40.50632911392405,,,
2024-06-07,Information Technology,59.42028985507246,,,
2024-06-07,Materials,38.46153846153847,,,
2024-06-07,Real Estate,64.51612903225806,,,
2024-06-07,Utilities,77.41935483870968,,,
2024-06-14,Communication Services,69.56521739130434,,,
2024-06-14,Consumer Discretionary,54.166666666666664,,,
2024-06-14,Consumer Staples,30.555555555555557,,,
2024-06-14,Energy,18.181818181818183,,,
2024-06-14,Financials,28.947368421052634,,,
2024-06-14,Health Care,51.66666666666667,,,
2024-06-14,Industrials,34.177215189873415,,,
2024-06-14,Information Technology,62.31884057971014,,,
2024-06-14,Materials,34.61538461538461,,,
2024-06-14,Real Estate,77.41935483870968,,,
2024-06-14,Utilities,64.51612903225806,,,
2024-06-21,Communication Services,69.56521739130434,,,
2024-06-21,Consumer Discretionary,68.75,,,
2024-06-21,Consumer Staples,38.88888888888889,,,
2024-06-21,Energy,27.27272727272727,,,
2024-06-21,Financials,53.94736842105263,,,
2024-06-21,Health Care,58.333333333333336,,,
2024-06-21,Industrials,45.56962025316456,,,
2024-06-21,Information Technology,76.81159420289855,,,
2024-06-21,Materials,42.30769230769231,,,
2024-06-21,Real Estate,74.19354838709677,,,
2024-06-21,Utilities,38.70967741935484,,,
2024-06-28,Communication Services,78.26086956521739,,,
2024-06-28,Consumer Discretionary,56.25,,,
2024-06-28,Consumer Staples,27.77777777777778,,,
2024-06-28,Energy,40.909090909090914,,,
2024-06-28,Financials,51.31578947368421,,,
2024-06-28,Health Care,38.333333333333336,,,
2024-06-28,Industrials,32.91139240506329,,,
2024-06-28,Information Technology,78.26086956521739,,,
2024-06-28,Materials,26.923076923076923,,,
2024-06-28,Real Estate,87.09677419354838,,,
2024-06-28,Utilities,29.03225806451613,,,
2024-07-05,Communication Services,73.91304347826086,,,
2024-07-05,Consumer Discretionary,41.66666666666667,,,
2024-07-05,Consumer Staples,33.33333333333333,,,
2024-07-05,Energy,31.818181818181817,,,
2024-07-05,Financials,52.63157894736842,,,
2024-07-05,Health Care,33.33333333333333,,,
2024-07-05,Industrials,30.37974683544304,,,
2024-07-05,Information Technology,81.15942028985508,,,
2024-07-05,Materials,26.923076923076923,,,
2024-07-05,Real Estate,67.74193548387096,,,
2024-07-05,Utilities,29.03225806451613,,,
2024-07-12,Communication Services,82.6086956521739,,,
2024-07-12,Consumer Discretionary,64.58333333333334,,,
2024-07-12,Consumer Staples,47.22222222222222,,,
2024-07-12,Energy,45.45454545454545,,,
2024-07-12,Financials,78.94736842105263,,,
2024-07-12,Health Care,58.333333333333336,,,
2024-07-12,Industrials,64.55696202531645,,,
2024-07-12,Information Technology,91.30434782608695,,,
2024-07-12,Materials,53.84615384615385,,,
2024-07-12,Real Estate,93.54838709677419,,,
2024-07-12,Utilities,87.09677419354838,,,
2024-07-19,Communication Services,65.21739130434783,,,
2024-07-19,Consumer Discretionary,56.25,,,
2024-07-19,Consumer Staples,50.0,,,
2024-07-19,Energy,63.63636363636363,,,
2024-07-19,Financials,77.63157894736842,,,
2024-07-19,Health Care,50.0,,,
2024-07-19,Industrials,68.35443037974683,,,
2024-07-19,Information Technology,60.86956521739131,,,
2024-07-19,Materials,53.84615384615385,,,
2024-07-19,Real Estate,93.54838709677419,,,
2024-07-19,Utilities,77.41935483870968,,,
2024-07-26,Communication Services,60.86956521739131,,,
2024-07-26,Consumer Discretionary,45.83333333333333,,,
2024-07-26,Consumer Staples,75.0,,,
2024-07-26,Energy,68.18181818181817,,,
2024-07-26,Financials,84.21052631578947,,,
2024-07-26,Health Care,75.0,,,
2024-07-26,Industrials,70.88607594936708,,,
2024-07-26,Information Technology,52.17391304347826,,,
2024-07-26,Materials,69.23076923076923,,,
2024-07-26,Real Estate,87.09677419354838,,,
2024-07-26,Utilities,83.87096774193549,,,
